filename,width,height,class,xmin,ymin,xmax,ymax
car (1).JPEG,180,280,dent,150,65,180,141
car (1).JPEG,180,280,scratch,63,157,117,180
car (1).JPEG,180,280,dent,85,111,131,158
car (1).JPEG,180,280,dent,0,82,120,115
car (1).JPEG,180,280,dent,114,57,153,106
car (10).jpg,264,191,intense_damage,77,142,197,168
car (10).jpg,264,191,dent,52,102,145,139
car (10).jpg,264,191,dent,209,101,258,130
car (10).jpg,264,191,dent,155,104,206,140
car (100).JPEG,259,194,dent,55,23,259,95
car (1000).JPEG,262,192,intense_damage,7,46,193,168
car (1000).JPEG,262,192,dent,195,46,235,90
car (1001).JPEG,259,194,intense_damage,110,72,202,129
car (1001).JPEG,259,194,dent,60,62,94,117
car (1002).JPEG,194,259,intense_damage,15,38,163,166
car (1003).JPEG,259,194,intense_damage,69,41,231,175
car (1004).jpeg,314,160,intense_damage,27,36,161,150
car (1005).JPEG,310,163,dent,129,87,181,122
car (1005).JPEG,310,163,dent,24,96,38,118
car (1006).jpeg,304,166,dent,87,18,198,124
car (1006).jpeg,304,166,dent,47,10,99,88
car (1007).JPEG,269,187,intense_damage,78,85,145,153
car (1007).JPEG,269,187,dent,191,80,218,138
car (1008).jpeg,259,194,dent,0,97,123,161
car (1008).jpeg,259,194,dent,116,83,165,126
car (1009).JPEG,259,194,scratch,108,118,175,157
car (1009).JPEG,259,194,intense_damage,18,13,77,68
car (1009).JPEG,259,194,dent,77,47,197,122
car (101).JPEG,259,194,intense_damage,12,68,132,180
car (1010).JPEG,275,183,dent,100,21,216,69
car (1010).JPEG,275,183,dent,62,66,147,162
car (1011).JPEG,259,194,dent,121,111,212,191
car (1011).JPEG,259,194,intense_damage,84,69,236,192
car (1012).JPEG,259,194,intense_damage,37,90,238,168
car (1013).JPEG,275,183,scratch,176,146,275,183
car (1013).JPEG,275,183,intense_damage,142,63,275,159
car (1014).JPEG,260,194,dent,4,117,93,161
car (1015).jpeg,269,188,dent,99,69,157,127
car (1015).jpeg,269,188,dent,191,75,226,120
car (1016).JPEG,259,194,dent,70,80,107,131
car (1017).jpeg,259,194,dent,197,59,219,100
car (1018).JPEG,259,194,scratch,167,113,194,124
car (1018).JPEG,259,194,dent,134,81,167,110
car (1019).JPEG,194,259,dent,58,98,114,135
car (102).JPEG,259,194,dent,53,51,189,149
car (1020).JPEG,270,187,dent,1,27,36,95
car (1020).JPEG,270,187,dent,87,31,143,90
car (1020).JPEG,270,187,dent,57,91,128,123
car (1021).JPEG,275,183,scratch,128,49,144,60
car (1021).JPEG,275,183,scratch,155,35,192,53
car (1021).JPEG,275,183,scratch,73,125,108,143
car (1021).JPEG,275,183,dent,55,74,119,126
car (1022).jpeg,259,194,scratch,27,41,93,106
car (1022).jpeg,259,194,scratch,86,55,206,146
car (1023).JPEG,269,187,scratch,94,101,195,141
car (1023).JPEG,269,187,scratch,48,78,74,121
car (1024).JPEG,194,259,dent,67,70,165,145
car (1025).JPEG,275,183,intense_damage,124,19,263,179
car (1026).JPEG,259,194,dent,64,43,118,81
car (1026).JPEG,259,194,dent,67,67,117,114
car (1026).JPEG,259,194,dent,121,57,193,71
car (1027).JPEG,276,183,dent,187,83,218,127
car (1027).JPEG,276,183,dent,198,105,219,146
car (1027).JPEG,276,183,dent,228,91,245,118
car (1027).JPEG,276,183,intense_damage,119,40,210,82
car (1027).JPEG,276,183,intense_damage,51,132,193,158
car (1028).JPEG,259,194,dent,71,66,104,127
car (1028).JPEG,259,194,dent,47,60,70,108
car (1029).JPEG,305,165,intense_damage,38,65,145,128
